,ID,Name,Image,Link,Type
0,1,Iron Pickaxe,https://static.wikia.nocookie.net/terraria_gamepedia/images/a/a2/Iron_Pickaxe.png/revision/latest?cb=20200516214316,https://terraria.fandom.com/wiki/Iron_Pickaxe,Tool
1,2,Dirt Block,https://static.wikia.nocookie.net/terraria_gamepedia/images/5/55/Dirt_Block.png/revision/latest?cb=20200516211400,https://terraria.fandom.com/wiki/Dirt_Block,Block
2,3,Stone Block,https://static.wikia.nocookie.net/terraria_gamepedia/images/3/37/Stone_Block.png/revision/latest?cb=20200516222613,https://terraria.fandom.com/wiki/Stone_Block,Block
3,4,Iron Broadsword,https://static.wikia.nocookie.net/terraria_gamepedia/images/c/cf/Iron_Broadsword.png/revision/latest?cb=20221121015053,https://terraria.fandom.com/wiki/Iron_Broadsword,Weapon
4,5,Mushroom,https://static.wikia.nocookie.net/terraria_gamepedia/images/8/8c/Mushroom.png/revision/latest?cb=20200516215553,https://terraria.fandom.com/wiki/Mushroom,Potion
5,6,Iron Shortsword,https://static.wikia.nocookie.net/terraria_gamepedia/images/c/c8/Iron_Shortsword.png/revision/latest?cb=20200516214319,https://terraria.fandom.com/wiki/Iron_Shortsword,Weapon
6,7,Iron Hammer,https://static.wikia.nocookie.net/terraria_gamepedia/images/0/0a/Iron_Hammer.png/revision/latest?cb=20221121011546,https://terraria.fandom.com/wiki/Iron_Hammer,Tool
7,8,Torch,https://static.wikia.nocookie.net/terraria_gamepedia/images/b/b2/Torch.png/revision/latest?cb=20200516223044,https://terraria.fandom.com/wiki/Torch,Furniture
8,9,Wood,https://static.wikia.nocookie.net/terraria_gamepedia/images/d/df/Wood.png/revision/latest?cb=20200516223631,https://terraria.fandom.com/wiki/Wood,Block
9,10,Iron Axe,https://static.wikia.nocookie.net/terraria_gamepedia/images/8/81/Iron_Axe.png/revision/latest?cb=20221121015518,https://terraria.fandom.com/wiki/Iron_Axe,Tool
10,11,Iron Ore,https://static.wikia.nocookie.net/terraria_gamepedia/images/8/87/Iron_Ore.png/revision/latest?cb=20200516214315,https://terraria.fandom.com/wiki/Iron_Ore,Ore
