epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6948,2.72898,16.2732,1.04231,0,0,0,0,2.56567,10.0553,0.96669,2e-05,2e-05,2e-05
2,64.9657,2.65097,7.91534,1.03177,0.00037,0.1,0.00022,0.00018,2.23156,8.1691,0.92766,5.703e-05,5.703e-05,5.703e-05
3,97.3336,2.76803,5.69214,0.95887,0.04122,0.3,0.0359,0.01489,2.00847,6.0276,0.89503,9.01e-05,9.01e-05,9.01e-05
4,129.734,2.77879,5.42444,0.95658,0.17513,0.4,0.14275,0.07688,1.98251,5.18038,0.89284,0.00011921,0.00011921,0.00011921
5,162.029,2.27758,3.89452,0.89926,0.62108,0.6,0.62998,0.28048,1.68319,3.18846,0.87023,0.00014436,0.00014436,0.00014436
6,194.55,2.07063,3.0458,0.84596,1,0.78922,0.89142,0.37459,1.99178,2.98727,0.86806,0.00016555,0.00016555,0.00016555
7,226.493,2.20804,2.93706,0.86193,1,0.7891,0.90771,0.3684,2.04301,3.1994,0.87096,0.00018278,0.00018278,0.00018278
8,258.52,2.15844,2.42714,0.79184,1,0.79626,0.88948,0.44367,1.59704,3.50437,0.84721,0.00019605,0.00019605,0.00019605
9,291.091,2.04446,2.03708,0.84971,0.98568,0.8,0.92945,0.50699,1.58255,3.37196,0.84948,0.00020536,0.00020536,0.00020536
10,323.496,1.81258,2.1421,0.84157,0.99923,1,0.995,0.44852,1.82291,4.69739,0.87061,0.00021071,0.00021071,0.00021071
11,355.566,1.83936,2.41279,0.88364,0.98749,1,0.995,0.40045,2.06825,5.24867,0.88709,0.0002121,0.0002121,0.0002121
12,388.611,1.90572,2.239,0.82255,0.60403,0.4,0.48495,0.22009,2.11634,9.90644,0.88734,0.00020953,0.00020953,0.00020953
13,423.106,1.71697,1.92606,0.85769,0.86606,0.5,0.68385,0.29039,1.99563,6.84883,0.87493,0.000203,0.000203,0.000203
14,455.564,1.59375,1.73264,0.81722,0.99375,1,0.995,0.46465,1.79144,3.15724,0.86306,0.00019251,0.00019251,0.00019251
15,487.753,1.78984,1.86405,0.83617,0.98786,1,0.995,0.47666,1.76003,3.06903,0.86197,0.00017806,0.00017806,0.00017806
16,520.485,1.65014,1.73879,0.83367,0.98899,1,0.995,0.48175,1.77379,2.44042,0.86277,0.00015965,0.00015965,0.00015965
17,553.412,1.57631,1.45898,0.76179,0.98708,1,0.995,0.47222,1.71311,1.87234,0.85627,0.00013728,0.00013728,0.00013728
18,586.277,1.58362,1.37936,0.81555,0.98834,1,0.995,0.54809,1.5444,1.5507,0.84713,0.00011095,0.00011095,0.00011095
19,619.296,1.43855,1.28523,0.80295,0.99085,1,0.995,0.56929,1.50003,1.43069,0.84356,8.066e-05,8.066e-05,8.066e-05
20,651.694,1.67555,1.23979,0.8015,0.99256,1,0.995,0.5693,1.4913,1.38341,0.84355,4.641e-05,4.641e-05,4.641e-05
