epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,452.113,3.24874,15.7396,1.09361,8e-05,0.01493,4e-05,1e-05,2.77624,8.94835,0.98919,0.00016,0.00016,0.00016
2,455.979,2.61468,8.04907,0.91396,0.58301,0.67164,0.63492,0.25496,2.0894,4.62969,0.85578,0.00032317,0.00032317,0.00032317
3,459.754,2.22644,2.35447,0.85005,0.8284,0.64855,0.78196,0.34807,1.89834,2.10879,0.83113,0.00046852,0.00046852,0.00046852
4,463.569,2.11169,1.59933,0.84159,0.78556,0.73134,0.83007,0.2693,2.20906,12.8321,0.85923,0.00059605,0.00059605,0.00059605
5,467.336,2.15762,1.2386,0.84551,0.03828,0.47761,0.03429,0.01312,2.10891,nan,0.83976,0.00070576,0.00070576,0.00070576
6,471.15,2.05519,1.13446,0.83102,0,0,0,0,nan,nan,nan,0.00079765,0.00079765,0.00079765
7,474.765,2.05804,1.35006,0.84594,0,0,0,0,nan,nan,nan,0.00087172,0.00087172,0.00087172
8,478.528,2.05206,1.13384,0.83209,0.75075,0.045,0.05734,0.02699,4.00924,3.28342,1.34185,0.00092797,0.00092797,0.00092797
9,482.166,2.16186,1.00866,0.84188,0.8871,0.8209,0.83035,0.30504,2.30813,1.11856,0.85719,0.0009664,0.0009664,0.0009664
10,485.757,1.96189,0.94724,0.82552,0.92383,0.9051,0.91294,0.42482,1.87667,0.75795,0.84082,0.00098701,0.00098701,0.00098701
11,506.855,1.67426,0.73523,0.82106,0.93582,0.92537,0.9502,0.46598,1.75163,0.72354,0.82525,0.0009898,0.0009898,0.0009898
12,510.587,1.6927,0.71309,0.81353,0.96791,0.97015,0.98621,0.50051,1.71558,0.73826,0.82226,0.000911,0.000911,0.000911
13,514.3,1.76791,0.84012,0.83324,0.9848,0.967,0.98575,0.52064,1.72249,0.64878,0.82601,0.000812,0.000812,0.000812
14,517.991,1.57986,0.72321,0.83165,0.95386,0.97015,0.98235,0.5258,1.65234,0.65779,0.8214,0.000713,0.000713,0.000713
15,521.701,1.62311,0.72687,0.79226,0.95152,0.97015,0.98308,0.52034,1.61808,0.64708,0.81269,0.000614,0.000614,0.000614
16,525.315,1.64517,0.67413,0.81695,0.96439,0.91045,0.95505,0.45123,1.83072,0.63137,0.82329,0.000515,0.000515,0.000515
17,528.933,1.55058,0.65509,0.82491,0.9659,0.98507,0.98357,0.53725,1.53453,0.57778,0.80907,0.000416,0.000416,0.000416
18,532.64,1.50844,0.65065,0.80136,0.95034,0.98507,0.98181,0.52904,1.56182,0.58197,0.80946,0.000317,0.000317,0.000317
19,536.249,1.48062,0.63564,0.79291,0.97047,0.9812,0.9829,0.52314,1.60311,0.57956,0.81151,0.000218,0.000218,0.000218
20,539.872,1.5389,0.64049,0.79963,0.98166,0.98507,0.98585,0.56106,1.54695,0.54294,0.8107,0.000119,0.000119,0.000119
